# 
                # This file maps assembly source symbols to PROM/microcode addresses and source lines, forming a crude
                # symbol table.
                #
                # Each source file is given a header a la:
                # [FooSource.asm]
                # (with brackets)

                # Each line's syntax is:
                # <symbol name 1>, .. , <symbol name N>: <address or value (hex)>,<line number(decimal) in current source file>
                # where '*none*' is a special symbol name meaning no symbol mapping is present.
[CoreInitial.mc,v]
*none*: 0x01f2,179
*none*: 0x01f1,178
*none*: 0x01f0,177
*none*: 0x01ef,176
*none*: 0x01f3,180
*none*: 0x01f4,181
largeVMOK: 0x01f5,187
*none*: 0x01f6,188
*none*: 0x01f7,189
*none*: 0x01f8,191
*none*: 0x010a,192
*none*: 0x01f9,193
*none*: 0x01ee,171
*none*: 0x01ec,169
*none*: 0x01ed,170
*none*: 0x01eb,166
*none*: 0x01ea,165
*none*: 0x01e9,164
mapBuild: 0x01e8,163
go: 0x01b1,51
*none*: 0x012f,52
*none*: 0x01b2,55
*none*: 0x01b3,66
*none*: 0x01b4,67
*none*: 0x01b5,68
*none*: 0x01b6,69
*none*: 0x01b7,70
*none*: 0x01b8,71
*none*: 0x01d8,140
mapInit: 0x01d7,139
*none*: 0x01d9,141
*none*: 0x01da,142
*none*: 0x01db,143
*none*: 0x01dc,144
*none*: 0x01dd,145
*none*: 0x01de,146
mark1: 0x01e0,151
*none*: 0x01e1,152
*none*: 0x011c,153
*none*: 0x01e2,154
*none*: 0x0108,155
*none*: 0x01e3,156
*none*: 0x01e4,157
*none*: 0x01e5,158
*none*: 0x01e6,159
*none*: 0x01e7,160
markPages: 0x0109,149
*none*: 0x01df,150
BLT: 0x0231,324
*none*: 0x0232,325
*none*: 0x0233,326
*none*: 0x0228,299
*none*: 0x0229,300
*none*: 0x0124,298
*none*: 0x0125,302
*none*: 0x022a,303
*none*: 0x022b,304
clearLoop: 0x0134,290
*none*: 0x0135,306
*none*: 0x01b9,77
*none*: 0x01ba,78
*none*: 0x01bb,79
*none*: 0x01bc,80
*none*: 0x01bd,81
clear: 0x0114,83
*none*: 0x01be,84
*none*: 0x01bf,85
*none*: 0x0115,87
*none*: 0x01c0,88
*none*: 0x01c1,89
*none*: 0x01c2,94
*none*: 0x01c3,95
*none*: 0x01c4,98
*none*: 0x01c5,99
*none*: 0x01c6,100
*none*: 0x01c7,101
*none*: 0x01c8,103
*none*: 0x01c9,104
*none*: 0x01ca,105
SetVMMSize: 0x01cb,107
*none*: 0x01cc,108
*none*: 0x01cd,109
*none*: 0x01ce,111
*none*: 0x01cf,112
enableIOP: 0x01d0,113
*none*: 0x01d1,115
*none*: 0x01d2,116
*none*: 0x01d3,117
*none*: 0x01d4,120
*none*: 0x01d5,121
*none*: 0x01d6,122

[InitDLion.mc,v]
OnceOnlyINit: 0x0101,66
*none*: 0x010b,67
*none*: 0x010e,78
*none*: 0x011a,79
*none*: 0x010f,89
*none*: 0x011e,90
*none*: 0x0128,92
*none*: 0x0129,93
*none*: 0x012b,94
*none*: 0x012c,96
*none*: 0x012d,97
*none*: 0x012e,98
*none*: 0x013a,100
*none*: 0x013b,101
*none*: 0x013c,102
*none*: 0x013d,104
*none*: 0x013e,105
*none*: 0x013f,106
*none*: 0x0140,108
*none*: 0x0141,109
*none*: 0x0142,110
*none*: 0x0143,112
*none*: 0x0144,113
*none*: 0x0145,114
*none*: 0x0146,116
*none*: 0x0147,117
*none*: 0x0148,118
*none*: 0x0149,120
*none*: 0x014a,121
*none*: 0x014b,122
IOPageLoop: 0x0111,126
*none*: 0x014c,127
*none*: 0x014d,128
EtherInit: 0x0113,131
*none*: 0x014e,132
*none*: 0x014f,133
*none*: 0x0150,135
*none*: 0x0151,136
*none*: 0x0152,137
*none*: 0x0153,139
*none*: 0x0154,140
*none*: 0x0155,141
MagTapeInit: 0x0156,144
*none*: 0x0157,145
*none*: 0x0158,146
DiskInit: 0x0159,149
*none*: 0x015a,150
SAx000: 0x0117,153
*none*: 0x015b,156
*none*: 0x015c,157
*none*: 0x015d,158
