# 
                # This file maps assembly source symbols to PROM/microcode addresses and source lines, forming a crude
                # symbol table.
                #
                # Each source file is given a header a la:
                # [FooSource.asm]
                # (with brackets)

                # Each line's syntax is:
                # <symbol name 1>, .. , <symbol name N>: <address or value (hex)>,<line number(decimal) in current source file>
                # where '*none*' is a special symbol name meaning no symbol mapping is present.
[IOPMain.mc,v]
IOPIdle: 0x0ecc,57
*none*: 0x014f,58
IOPNoop: 0x061c,289
*none*: 0x0c7f,61
*none*: 0x0404,62
*none*: 0x0c74,65
*none*: 0x0ecd,66
*none*: 0x0ece,67
*none*: 0x04a5,71
rTmpLRot8: 0x0226,287
*none*: 0x0c75,75
*none*: 0x0c76,79
*none*: 0x0ecf,80
CalculateLast: 0x0ed3,117
*none*: 0x0ed4,118
TestCarry: 0x0ed5,120
MapLast: 0x092e,134
*none*: 0x0ed7,135
*none*: 0x0ed8,136
*none*: 0x0ed9,141
*none*: 0x0eda,142
*none*: 0x0edb,143
*none*: 0x0edc,145
*none*: 0x0edd,146
*none*: 0x0ede,147
*none*: 0x0c70,178
MapVirt3: 0x0890,180
*none*: 0x0ee5,183
*none*: 0x0ee6,184
*none*: 0x0ee7,185
*none*: 0x0ee8,190
*none*: 0x0ee9,191
*none*: 0x061a,192
WriteBlock: 0x07ca,201
*none*: 0x0eea,202
*none*: 0x0942,203
WriteBlockLoop: 0x0eeb,206
*none*: 0x0eec,207
*none*: 0x0699,208
WritePageCross: 0x069a,232

[MultiBankStartMesa.mc,v]
*none*: 0x07fc,83
*none*: 0x07fd,84
SetMDS: 0x0aff,89
*none*: 0x0dea,90
*none*: 0x0deb,92
*none*: 0x0dec,98
*none*: 0x0ded,99
*none*: 0x0dee,101
*none*: 0x0def,102
*none*: 0x0df0,103
*none*: 0x0df1,118
*none*: 0x0df2,119
*none*: 0x0df3,120
*none*: 0x0df4,122
*none*: 0x0df5,123
*none*: 0x0df6,124
*none*: 0x0df7,127
*none*: 0x0df8,128
*none*: 0x0df9,129
*none*: 0x0dfa,131
*none*: 0x0904,132
*none*: 0x0dfb,133
KeyDone: 0x0905,149
*none*: 0x0dfc,150
*none*: 0x0dfd,154
*none*: 0x0dfe,155
*none*: 0x0dff,156
LastChance: 0x0e00,159
*none*: 0x0e01,160
*none*: 0x0e02,161

[Xfer.mc,v]
XFER: 0x0b22,484
XferIndirect: 0x042e,517
*none*: 0x0d8d,518
*none*: 0x018c,520
*none*: 0x0701,521
XReadx: 0x07e1,969
XReady: 0x09f1,971
XReadz: 0x0903,972
*none*: 0x04da,973
*none*: 0x038c,523
*none*: 0x0d8e,524
*none*: 0x0d8f,525
*none*: 0x0d90,527
*none*: 0x042c,488
*none*: 0x0d85,489
*none*: 0x08e6,491
ControlTrap: 0x08e7,743
*none*: 0x02d7,744
TH1: 0x0dc4,745
TH: 0x0dc9,756
*none*: 0x0dca,757
Tha: 0x0920,758
*none*: 0x0dcb,760
THb: 0x0788,761
THc: 0x0dcc,765
*none*: 0x0dcd,767
*none*: 0x0dce,768
*none*: 0x0dcf,769
THx: 0x0619,775
*none*: 0x0dd2,776
*none*: 0x0dd3,777
THd: 0x0330,779
*none*: 0x08a1,780
TrapGo: 0x007a,782
*none*: 0x07fa,784
*none*: 0x0dd4,785
*none*: 0x0dd5,786
*none*: 0x0dd6,788
KFCBa: 0x0d5e,276
*none*: 0x0d5f,277
*none*: 0x0d60,279
*none*: 0x0402,280
GLe: 0x0ddc,894
*none*: 0x04fc,896
*none*: 0x020c,897
*none*: 0x020d,898
*none*: 0x0ddd,899
*none*: 0x0dde,901
GLc: 0x0443,902
*none*: 0x04d2,903
XFMUD: 0x0765,493
StashPC0: 0x0940,842
